1,3,0,0,0,0,7
2,0,3,0,0,0,7
2,3,4,0,0,0,3
4,0,0,3,0,0,7
4,2,0,4,0,0,4
8,0,3,4,0,0,3
8,2,3,3,0,0,2
8,0,0,0,3,0,7
8,4,0,0,2,0,4
4,0,4,0,2,0,4
4,3,3,0,2,0,2
8,0,0,5,2,0,3
8,2,0,4,2,0,2
16,0,3,3,2,0,2
16,1,1,2,1,0,5
16,0,0,0,0,3,7
16,4,0,0,0,1,5
16,0,4,0,0,1,5
16,2,3,0,0,1,4
16,0,0,4,0,1,5
16,2,0,3,0,1,4
16,0,3,2,0,1,4
16,1,2,3,0,1,3
16,2,2,2,1,1,2
16,4,0,0,1,1,4
16,0,4,0,1,1,4
16,2,2,0,1,1,4
16,0,0,4,1,1,4
16,2,0,2,1,1,4
16,0,2,2,1,1,4
0,0,0,0,0,0,0
32,0,0,0,0,0,10
1,3,0,0,0,0,7
2,0,3,0,0,0,7
2,2,4,0,0,0,4
4,0,0,3,0,0,7
4,2,0,4,0,0,4
4,0,2,4,0,0,4
4,2,2,2,0,0,4
8,0,0,0,3,0,7
8,3,0,0,3,0,4
8,0,3,0,3,0,4
8,3,3,0,1,0,3
8,0,0,2,4,0,4
8,2,0,2,2,0,4
8,0,2,2,2,0,4
0,0,0,0,0,0,0
16,0,0,0,0,1,9
16,3,0,0,0,1,6
16,0,3,0,0,1,6
16,2,2,0,0,1,5
16,0,0,3,0,1,6
16,2,0,2,0,1,5
16,0,2,2,0,1,5
0,0,0,0,0,0,0
16,0,0,0,3,1,6
16,2,0,0,2,1,5
16,0,2,0,2,1,5
0,0,0,0,0,0,0
16,0,0,2,2,1,5
