300,1,1280,0
300,1,2048,0
1500,1,512,0
1500,1,1280,0
1500,1,2048,0
3000,1,0,385
3000,1,0,1055
3000,1,0,600
3000,1,0,1300
4500,2,2560,400
4500,2,2560,800
6000,1,512,0
6000,1,1280,0
6000,2,2048,0
6000,1,512,1440
6000,2,2048,1440
8000,2,0,385
8000,4,0,770
8000,2,0,1055
8000,2,2560,385
8000,4,2560,770
8000,2,2560,1055
10000,4,100,0
10000,4,2400,1440
10000,16,300,0
10000,16,2100,1440
12000,2,559,0
12000,2,1400,0
12100,2,2560,600
12100,2,2560,1200
12200,2,2000,1440
12200,2,1200,1440
12300,2,0,300
12300,2,0,1300
14000,1,0,600
14000,1,2560,700
14000,1,620,0
14000,1,2100,1440
14100,2,0,900
14100,2,2560,1000
14100,2,920,0
14100,2,500,1440
15500,1,900,0
15500,1,1500,1440
15500,2,1500,0
15500,2,900,1440
15700,4,1280,0
15700,4,1280,0
15700,4,1280,1440
15700,4,1280,1440
17000,2,2560,600
17000,2,2560,1200
17000,2,500,1440
17000,2,880,1440
17100,16,2560,1440
17100,16,0,0
18000,1,400,0
18000,1,2100,1440
18000,2,300,0
18000,2,2200,1440
18000,4,200,0
18000,4,2300,1440
18000,8,100,0
18000,8,2400,1440
